Sentence,Sentiment
This was a day after Mayawati did the same at a rally in Lucknow.,Neutral
"In fact, Mulayam will be targeting PM at his future rallies too on demonetization.",Neutral
"After Modi did a rally in Ghazipur on November 13, Mulayam did a rally there on November 23.",Neutral
"Mulayam did another rally in Bareilly on December 7 where he spoke strongly against demonetization and is set for another rally in Deoria on December 20, after Modi spoke in adjoining Kushinagar on November 27.",Positive
"The idea is that Mulayam will counter Modi on demonetization as we feel it is a major poll issue now,  a senior SP leader said.",Neutral
BJP leaders meanwhile feel BSP stands to lose ground due to its wholesale criticism of demonetization.,Negative
"SPs main issue is with the poor implementation leading to no cash in banks,  a state BJP leader said, claiming the Yadav family has been  more strategic  in its criticism compared to Mayawati.",Neutral
This shows Samajwadi Party also senses a support for the move among a sizeable section of the populace too and does not want a blowback.,Neutral
Mayawati s criticism has been unbridled making PM and Amit Shah take on Mayawati saying she is extremely vocal given she is the worst affected by demonetisation.,Negative
"The corruption badge has stuck on to her image in this election,  the BJP leader said.",Neutral
BJP is now launching a campaign to educate public about the  benefits  of the demonetization exercise.,Neutral
"PM Modi takes on Rahul Gandhi    Dec 23, 2016, 12.",Neutral
"32 PM     VARANASI: Prime Minister Narendra Modi taking a jibe on Congress vicepresident Rahul Gandhi said, ""The young leader is learning the art of speech delivery.",Neutral
My joy knows no bound when he started speaking.,Positive
"In 2009 it was not known what is inside the packet (Rahul)"".",Neutral
"On Rahul's earthquake comment, Modi said, ""There would have been an earthquake if he does not speak, and the country would have to take 10 years to overcome the devastation.",Neutral
"Now, when he has started speaking the possibility of earthquake does not exist"".",Neutral
"""He wonders how phone banking is possible in a country, where 60% population is illiterate,"" said Modi questioning, ""Did I use magic power to make people illiterate?",Positive
What type of report cart they are showing.,Neutral
"""
""Kisi ka kala dhan khul raha hai, aur kisi ka kala man khul raha hai"", ""Someone's black money is opening, and black mind is opening of some others), he quipped.",Negative
Modi was addressing a function of National Cultural Festival at Banaras Hindu University on Thursday.,Neutral
"Taking on former PM Manmohan Singh over his statement on demonetization said that he (Singh) produced his own 'report card' while saying that the use of technology for cashless transaction is not possible in a country, where 50% population is poor.",Neutral
"""Manmohan Singh, who was the PM and finance minister, had been in the core team of economic affairs since 197072.",Positive
He says how technology can be used in a country where 50% people are poor.,Negative
"This poverty of 50% people is the outcome of his government, and he is putting his own report card,"" said Modi.",Positive
"""Some people lose balance in their statement while opposing demonetization.",Neutral
"They cannot speak in favour of black money and corruption, but they have to speak in opposition,"" he said adding that another 'Saheb' P Chidamabaram, who was the finance minister, says there is no electricity in 50% villages in the country, hence cashless transaction is not possible.",Neutral
"""Now tell me have I uprooted electric poles and wires from these villages,"" taunted Modi.",Neutral
"Targeting the opposition's stand on demonetisation, he said that some people say that Modi took this decision without estimating its consequences.",Neutral
"""Yes, I failed to estimate one thing while planning demonetization.",Negative
"I had no idea that some politicians and parties will boldly stand with the corrupt people,"" said Modi adding that their action was similar to the Pakistani firing on the border to keep Indian forces busy for infiltration bid.",Neutral
"But, common people, though facing lots of trouble, are ready to face the hardship for the sake of national interest, he added.",Neutral
"In his halfanhour speech Modi bagged the applause of BHU professors, who were seen clapping repeatedly and raising 'Har Har Mahadev slogan'.",Neutral
"Taking this opportunity to highlight his demonetization decision, Modi said that the country is witnessing a big 'cleaning campaign'.",Neutral
"""The intensity of foul smell reaches its zenith when cleaning process is started.",Neutral
"But, after the cleaning and removal of trashes a beautiful ground appears to convert it into a garden,"" he said.",Positive
"Urging the audience to popularize the cashless economy, he said that they would have to ensure that black money does not emerge again after this battle.",Negative
We should have to tell people about mobile banking.,Neutral
The use of mobile banking and cashless economy will end black money and corruption.,Negative
"He said that the demonetization has buried the counterfeit notes, put check on terrorism, naxalism and insurgency in North East.",Neutral
"demonetisation: Congress should 'introspect' its contribution to corruption and black money: Venkaiah Naidu    Dec 29, 2016, 12.",Negative
"54 AM     NEW DELHI: Hitting back at Congress vicepresident Rahul Gandhi over his criticism of demonetisation , Union Minister M Venkaiah Naidu on Wednesday said he opposition party should ""introspect"" its contribution towards ills like corruption and black money Attacking the Congress, the Union Information and Broadcasting minister said the the party which has ruled India for the maximum time should give answers as it has all along ""patronised"" black money and corruption.",Neutral
"He said that as the Congress celebrates its Foundation Day and it is only appropriate that the issue of black money, corruption etc, are ""haunting"" it.",Positive
"Referring to Rahul's comments earlier in the day, Naidu said that the Congress Vice president had expressed unwisely his ""vicarious pleasure"" over what he thought that note withdrawal is a big failure in terms of unearthing black money.",Negative
"""This clearly shows that his party is with those who all along lived by black money and corruption.",Neutral
One of the objectives of note withdrawal has been to see that high value currency notes reach the system.,Positive
"""Whatever does not reach banking system obviously could be taken as unaccounted for money.",Neutral
"It does not necessarily mean that all the currency that reached the banking system is white money,"" Naidu said.",Neutral
"One would have known by now that December 30 is not the last day of efforts for unearthing black money, he added.",Neutral
"Claiming that spit and run won't work, Naidu posed five questions to Rahul and Congress.",Neutral
"He asked them to explain whether they believe that there is no black money and corruption in the country and there was no need for any measures to tackle them?If Congress believes that there is a problem of black money and corruption, why did it's governments not take effective measures against them, he asked.",Positive
Naidu also asked why Congress government brought the Benami Property law before Parliament in 1988 but did not subsequently notified it?,Neutral
Why some major opposition parties are refusing to join hands with Congress in its antinote withdrawal campaign?,Neutral
"Why Congress Government didn't act on Supreme Court's directive for setting up SIT on black money, was Naidu's fifth question.",Negative
"demonetization: Note ban will not help India in corruption fight: Srinivasan    Mar 14, 2017, 05.",Neutral
"01 PM     NEW DELHI: Noted USbased economist T N Srinivasan has cast serious doubts on the efficacy of the cash ban move , saying it will not help in fighting the menace of black money.",Negative
"Srinivasan of Yale University, who at one point taught RBI governor Urjit Patel , emphasized that the government needs to come out with a ""well thoughtout"" policy to combat corruption.",Neutral
"""There was and is no well thoughtout anticorruption policy to combat corruption.",Neutral
"Rooting out corruption and increasing transparency through a policy such as demonetization as implemented in India are unlikely to come about,"" Srinivasan, Samuel C Park Jr Professor Emeritus of Economics, Yale University, told PTI.",Negative
"He further said, ""Although understandably, the demonetization was not preannounced, the government's implementation showed extreme unpreparedness and lack of thought.",Neutral
"""Srinivasan also pointed out that the government chose to cancel notes of denomination Rs 500 and Rs 1,000, but it did not clearly come out with the objectives.",Neutral
"""With all the technical manpower it had in the Central Statistics Office (CSO) and the department of economic affairs in the ministry of finance, the government did not issue a white paper clearly laying out the objectives of demonetization,"" he said.",Neutral
"Prime Minister Narendra Modi on November 8 announced the scrapping of the notes, pulling out 86 per cent of the total currency in circulation.",Neutral
"Crusade against black money to continue, says Amit Shah    Dec 12, 2016, 08.",Negative
"34 PM     RAIPUR: Asserting that there is no going back on a crusade against black money Bharatiya Janata Party president Amit Shah on Monday said the money generated through taxes and penalties, after demonetization of highvalue currency, would be utilised for development and for welfare schemes for the poor.",Negative
"""Despite onslaught by the opposition and other vested interests against 'note bandi', Modi government will not quit from its fight against black money.",Negative
The government feels the pain of common masses after demonetization.,Negative
"But, whenever there is a surgery, there will be some amount of suffering till the disease is cured"", he said while addressing an impressive party workers convention in the state capital to mark the completion of 13year BJP rule in the state.",Positive
"The BJP chief said till November seven, all opposition parties were shouting from roof top what Modi government did to contain black money but after demonetization the same people were crying hoarse against the government, asking why highvalue notes were withdrawn.",Neutral
"""After note bandi, 70 years of loot vanished in one go"", he claimed.",Neutral
"Pointing out that BJP believed in ""politics of performance and development"", Shah said his party and its government at the centre and the state were not following politics of casteism, regionalism and communal appeasement.",Neutral
"""Our party's base is the philosophy of integral humanism coupled with Prime Minister Narendra Modi 's ""Sab ka Saath, Sab Ka Vikas"".",Negative
"Taking a dig at the previous UPA government, the BJP president said the scam during ManmohanSonia regime totalled to more than Rs 12 lakh crore but the last two and a half years of BJP regime under the leadership of Prime Minister Narendra Modi gave a corruptionfree and transparent government.",Neutral
"Lauding the development and welfare initiatives taken by chief minister Raman Singh during the last 13 years in power in the state, Shah said Chhattisgarh has emerged as a ""Model welfare state for the poor"" with the BJP government taking many initiatives for the welfare of the poor, farmers and other weaker sections of the society.",Neutral
He hailed the state's much acclaimed public distribution system (PDS) and the food security scheme.,Neutral
"Stating that Chhattisgarh has made a giant leap in development during the BJP rule, the BJP chief listed the initiatives taken by the Raman Singh government saying that the state has recorded growth in all development parameters.",Neutral
"""One of the biggest achievement is the success in fighting Naxalism.",Positive
"The problem of Maoist menace has almost been controlled to a great extent"", he added.",Positive
"Referring to BJP's exceptional growth, Shah said his party now have a strong presence in all the states with more than 1000 legislators and 300 members of parliament.",Positive
"""Prime Minister Narendra Modi has emerged as the most popular Prime Minister in the independent India"", he claimed.",Positive
"""Now, it's for the political pundits to examine and analyse on the basis of statistics the contribution of Congress , left parties, regional parties and BJP towards development and make their findings public"", he said.",Neutral
"Shah said in the last two and a half years, Modi government has introduced 52 schemes for development and welfare of the poor.",Negative
"""India is changing, very fast"", he added.",Positive
"Chief Minister Raman Singh, in his address, said he said it was because of party workers support and dedication that his government could take initiative and implement many schemes and programme for the state's development during the last 13 years in power.",Positive
He reiterated his government's resolve and commitment to continue the good work to make Chhattisgarh one of the most prosperous state in the country.,Positive
"State BJP president Dharamlal Kaushik, BJP national secretaries Saroj Pandey, Ram Vichar Netam, union minister of state for steel and mines Vishnudeo Sai and other party functionaries were among those present.",Neutral
"Earlier in the day, BJP president inaugurated a library at the state BJP headquarters.",Neutral
"Manmohan Singh: PM Modi takes jibe on former PM Manmohan Singh over demonetization    Dec 22, 2016, 07.",Neutral
"30 PM     VARANASI: Prime Minister Narendra Modi taking a jibe on former PM Manmohan Singh over his statement on demonetization said that he (Singh) produced his own 'report card' while saying that the use of technology for cashless transaction is not possible in a country, where 50% population is poor.",Neutral
"""Manmohan Singh, who was the PM and finance minister, had been in the core team of economic affairs since 197072.",Positive
He says how technology can be used in a country where 50% people are poor.,Negative
"This poverty of 50% people is the outcome of his government, and he is putting his own report card,"" said Modi while addressing a function at Banaras Hindu University on Thursday.",Positive
"""Some people lose balance in their statement while opposing demonetization.",Neutral
"They cannot speak in favour of black money and corruption, but they have to speak in opposition,"" he said adding that another 'Saheb' P Chidamabaram , who was the finance minister, says there is no electricity in 50% villages in the country, hence cashless transaction is not possible.",Neutral
"""Now tell me have I uprooted electric poles and wires from these villages,"" taunted Modi.",Neutral
"Training his gun to Congress vicepresident Rahul Gandhi, Modi said, ""The young leader is learning the art of speech delivery.",Neutral
My joy knows no bound when he started speaking.,Positive
"In 2009 it was not known what is inside the packet"".",Neutral
"Taking a jibe on Rahul's earthquake comment, Modi said, ""There would have been an earthquake if he does not speak, and the country would have to take 10 years to overcome the devastation.",Neutral
"Now, when he has started speaking the possibility of earthquake still remains"".",Neutral
"""He wonders how phone banking is possible in a country, where 60% population is illiterate,"" said Modi questioning, ""Did I use magic power to make people illiterate?",Positive
What type of report cart they are showing.,Neutral
"""
""Kisi ka kala dhan khul raha hai, aur kisi ka kala man khul raha hai"", ""Someone's black money is opening, and black mind is opening of some others), he quipped.",Negative
"Targeting the opposition's stand on demonetisation , he said that some people say that Modi took this decision without estimating its consequences.",Neutral
"""Yes, I failed to estimate one thing while planning demonetization.",Negative
"I had no idea that some politicians and parties will boldly stand with the corrupt people,"" said Modi adding that their action was similar to the Pakistani firing on the border to keep Indian forces busy for infiltration bid.",Neutral
"But, common people, though facing lots of trouble, are ready to face the hardship for the sake of national interest, he added.",Neutral
"In his halfanhour speech Modi bagged the applause of BHU professors, who were seen clapping repeatedly and raising 'Har Har Mahadev slogan'.",Neutral
"Taking this opportunity to highlight his demonetization decision, Modi said that the country is witnessing a big 'cleaning campaign'.",Neutral
"""The intensity of foul smell reaches its zenith when cleaning process is started.",Neutral
"But, after the cleaning and removal of trashes a beautiful ground appears to convert it into a garden,"" he said.",Positive
"Opposition MPs protests outside Parliament    Nov 28, 2016, 02.",Neutral
"54 PM     NEW DELHI: Expressing concern over the plight of common man, MPs of various opposition parties led by Rahul Gandhi today staged a protest against the government on the demonetization issue in front of Parliament as part of the 'Jan Aakrosh Divas' observed across the country.",Neutral
"However, no MP from Trinamool Congress, JD(U), SP and BSP, BJD were seen at the joint Opposition dharna outside Parliament though they raised their voices against the move in the House.",Neutral
"Besides the Congress vicepresident, many senior party leaders including Mallikarjun Kharge Jyotiraditya Scindia and Veerappa Moily along with JP Yadav of RJD, Supriya Sule of NCP, Kanimozhi of DMK and Mohd Salim of CPI(M) participated in the protest near Gandhi statute.",Positive
"Raising slogans, the MPs demanded steps to ease the problems being faced by the people due to the demonetization drive.",Negative
"""There is anger against demonetization which is reflecting from Parliament to street.",Negative
"In the name of fighting black money, poor have been made to suffer while rich people have been let off,"" RJD MP JP Yadav alleged.",Neutral
"Congress leader Moily termed the Modi government's move was a ""fake fight and not a genuine fight against black money.",Negative
"""""Black money is a cause of corruption.",Negative
But where is the fight against corruption?,Neutral
"What happened to Lokpal?""
he asked and added the money in circulation cannot be called black money.",Negative
"""We are interested in discussion.",Positive
"PM must come to the House to explain,"" he said.",Neutral
"Scindia said, ""It has happened for the first time in the world that one cannot draw one's own money.",Positive
So we are raising the common man's voice outside and inside Parliament.,Negative
"""Asked about parties holding protests separately, CPI(M) leader Sitaram Yechury said, ""There is no division among opposition.",Neutral
All parties may march separately but they are striking together.,Positive
Parliament is not functioning because PM is no coming to the House.,Neutral
"Modi in Lok Sabha: Demonetisation, a right decision at right time: PM Modi    Feb 7, 2017, 02.",Positive
"07 PM     NEW DELHI: Prime Minister Narendra Modi on Tuesday strongly defended his government's decision to ban high value currency notes, saying it was the right step taken at the right time to rid the Indian economy of tax evasion and black money.",Positive
"Modi, speaking in the Lok Sabha in reply to motion of thanks to the President's address , mocked at the opposition protests against the November 8, 2016, decision of spiking Rs 500 and Rs 1,000 notes that led to a huge currency crunch in the country.",Positive
He likened the decision with surgery conducted on the human body.,Neutral
"""When can you have an operation?",Neutral
When the body is healthy.,Positive
"For demonetisation, good economy was needed and this was a proper time.",Positive
"Our economy was doing well and our (demonetisation) decision was taken at the right time,"" Modi said.",Positive
"The decision was taken after Diwali when trade (across the country) was high,"" he said, adding the move was like the Swachh Bharat mission to clean the economy of illgotten wealth accumulated by evading tax.",Positive
"""Like Swachh Bharat, the decision on demonetisation is a movement to clean India (of corruption and black money),"" Modi said.",Positive
"He said he was aware of political risks but ""I am not concerned about the elections"".",Positive
"""I am concerned about my country,"" he said, urging the opposition ""to join the mainstream and contribute in the development of the country.",Neutral
"""Modi took a dig at Congress Vice President Rahul Gandhi for his tomtommed ""earthquake"" exposure on the Prime Minister's alleged involvement in corruption.",Neutral
"""We were ready for discussion, but instead of discussion the opposition was more concerned about giving TV bytes,"" he said, referring to the Winter Session that was completely washed out in opposition protests against demonetisation.",Positive
"Hailing his decision of forming a Special Investigation Team (SIT) to bring back black money stashed in foreign banks, Modi said: ""The Supreme Court quoted on March 26, 2014 that since 1947 nobody thought of bringing back black money from foreign countries.",Neutral
"NEW DELHI: Congress leader Rahul Gandhi today compared Prime Minister Narendra Modi to Roman emperor Nero  who fiddled while Rome burned  and then accused him of nefariously banning highvalue notes to benefit a few people like ewallet company Paytm, ANI reported.",Neutral
"Ewallet companies, especially Paytm, have a seen a giant boost in their users sinceon November 8.",Neutral
"""The idea behind ais that a few people must get maximum benefits from these (cashless) transactions, this has damaged the nation,"" the Congress vice president said at an opposition protest against the currency ban on the Parliament 's premises, ANI said.",Negative
"""If they let me speak in the Lok Sabha I will expose this nexus.",Neutral
"How PayTM is actually 'Pay to Modi' "", Rahul said, making it abundantly clear he was accusing the PM of having a nexus with some corporates.",Neutral
"The Congress leader said the PM is oblivious to the ""suffering"" people are facing due to the shortage of cash after high value notes were scrapped.",Neutral
"""He is laughing, having a nice time while the people of the country are suffering,"" said Rahul.",Positive
"While the PM's party and a section of people have hailed the high value notes' ban as ""bold"", Rahul and other opposition leaders beg to differ.",Positive
"""This is not a bold decision, it is a foolish decision which has been taken without any due consideration.",Negative
"It has devastated the poor, farmers and daily wage workers.",Negative
We want to have a discussion (in Parliament).,Neutral
We want a vote (in Parliament).,Neutral
"The government doesn't,"" the Congress vice president said.",Neutral
Rahul also called out the PM on his purported reasons for the ban on high denomination notes.,Positive
"The PM has variously said the ban's purpose is to, make counterfeiting difficult toand to make India a digital country with cashless transactions.",Negative
"The Congress leader and other opposition leaders aren't buying any of those lines of argument and also see the various reasons being touted for demonetisation as proof that the government has made an illthought out move with the currency ban, which is also being called demonetisation.",Neutral
"""The PM's narrative has changed.",Neutral
"He started by saying it (currency ban) is against black money, then (against) terrorism, then (against) counterfeit currency and later (against) cashless economy,"" the Congress vice president said.",Neutral
The NehruGandhi scion also slammed the ruling BJP for saying the Opposition is disrupting Parliament proceedings.,Neutral
"""The responsibility of running the House is with the government and the Speaker, not (with) the Opposition,"" he said, adding that if the PM ""comes to the House for debate, we won't let him run.",Neutral
"""But, ""PM Modi is running away,"" Rahul said.",Neutral
"The Congress leader was referring to the fact that PM Modi has attended Parliament proceedings several times this session, but has yet to speak or answer questions on demonetisation.",Neutral
"LUCKNOW: Alleging a large ""scam"" in the implementation of the, Congress commmunication cell chairman Randeep Surjewala said on Friday the Bharatiya Janta Party, the Rashtriya Swayamsevak Sangh and all BJP members of Parliament and legislators should make public their account details and the details of all high value transactions between April 1, 2016 and November 8, 2016, when prime minister Narendra Modi announced the government's decision to discontinue Rs 500 and Rs 1000 notes as legal tender.",Positive
"Addressing the first in a series of press conferences against demonetisation in pollbound Uttar Pradesh, Surjewala said in Lucknow on Friday that demonetisation was ""notebandi ki shakl mein deshbandi"" (country brought to a grinding halt in the name of currency ban).",Positive
"Questioning the government's diktat to limit withdrawals from one's own bank accounts, the Congress leader also said the Congress party and the entire opposition have demanded an investigation through a joint parliamentary committee to unearth the layers of conspiracy in the government's decision.",Positive
"Surjewala said, ""Demonetisation is the largest scam in this country.",Neutral
"On November 7 and 8, BJP's Kolkata account received deposits worth several crores in old 500 and 1000 denomination.",Positive
"Also, BJP's social media cell functionaries posed pictures holding wads of new Rs 2000 currency notes when others are still queuing outside banks for money.",Neutral
Do these not show prior knowledge show they had prior knowledge and easier access?,Neutral
"""On Friday, the Congress also released bank account details of large tracts of land in Bihar and Orissa, bought months prior to the demonetisation exercise, and allegedly symptomatic of prior knowledge of the demonetisation announcement.",Neutral
"""All sale deeds contain the address of the BJP office in New Delhi,"" Surjewala said.",Positive
"Among a slew of allegations against the ruling party, the Congress leadership also claimed on Friday that the Modi government had increased, soon after being sworn to power, foreign remittances from India from Rs 75,000 dollar per person, to Rs 1.",Negative
"25 lakh dollars per person first, and then to Rs 2.",Positive
"5 lakh dollars, moving out of India nearly Rs 30,000 crore worth of money from the country.",Positive
"Labelling the demonetisation exercise as a move the BJP used to convert its ""own black money into white"" Surjewala also said the surge inwith Rs 5 or less deposited since they were opened also suggested foul play by the government machinery.",Neutral
"""We are using this platform to challenge Amit Shah that if he has the courage to be really show himself and the organisation as corruption free, the BJP, RSS and its elected representatives should make all their accounts public from April 1, 2016 to 9 November so that people can see and raise any questions they want to,"" Surjewala said.",Positive
"He also said it was unfortunate that the BJP had reduced to the level of thieves, all those who were standing in queues to withdraw their own money from banks.",Neutral
"Victory in local polls shows support for note ban: Amit Shah    Dec 31, 2016, 03.",Neutral
"52 AM     NEW DELHI: On the last day of the 50day window announced by PM Narendra Modi to bear with the fallout of demonetisation, BJP president Amit Shah said that the party's win in recent local polls in several states, including Chhattisgarh and Gujarat, reflected people's ""stamp of approval"" of the government's bold move.",Positive
"On Friday, Shah credited the impressive performance in civic polls in Maharashtra and Chandigarh among other places to ban on Rs 1000 and Rs 500 notes which, he said, benefitted the poor and hit hard the hoarders of black money.",Neutral
The BJP chief said the next round of elections would also be fought on this plank.,Neutral
"""It is clear with results in local elections in states like Rajasthan, Gujarat, Maharashtra, Chandigarh and now Chhattisgarh and Gujarat that people are with the Modi government in this fight against black money and corruption while the opposition is only doing negative politics,"" Shah said in a statement.",Neutral
"""People of the country have put their stamp of approval on the demonetisation decision taken by Prime Minister Narendra Modi on November 8,"" he said.",Neutral
Shah hailed PM Modi and the government for the numerous measures taken to root out corruption and black money from the country.,Neutral
"Complimenting finance minister Arun Jaitley for the revised Double Taxation Avoidance Agreement with Singapore, Shah said the agreement would not only prevent double taxation but also increase the government's revenue.",Neutral
"""Under PM's leadership, the BJP government at the Centre has been committed to wipe out corruption and black money from the country from the day it took charge,"" he said.",Negative
"He listed the SIT against black money, Jan Dhan scheme, IDS (Income Disclosure Scheme) as some of the steps taken by the government.",Negative
"""This government is for the villages, poor and farmers Modi government,"" he said.",Negative
"""In polls held across different parts of the country, including its remote rural corners, people have expressed their views clearly to the opposition and shown faith in Modi's vision and the BJP's politics of performance.",Neutral
"This is five straight win of BJP in local polls after demonetisation,"" he said.",Positive
"Union Budget 201718: Ban on cash transaction over Rs 3 lakh good; cash holding limit could have been better: SIT    Feb 1, 2017, 03.",Positive
